,Systematic name,RNA pol II  presence (per gene),TR indirect (mol/hour),TR (mol/hour)
2430,YGR097W,0.1938,7.608,5.07
2431,YGR098C,0.159,1.77,2.922
2432,YGR099W,0.1234,1.6440000000000001,5.376
2433,YGR100W,0.1035,,3.264
2434,YGR101W,,1.0739999999999998,
2435,YGR102C,0.025,0.624,4.085999999999999
2436,YGR103W,,39.738,
2437,YGR104C,,1.1580000000000001,
2438,YGR105W,0.0226,9.45,8.724
2439,YGR106C,0.0575,22.092000000000002,6.492
2440,YGR107W,,0.192,
2441,YGR108W,,7.476,
2442,YGR109C,,,
2443,YGR110W,0.0684,,4.608
2444,YGR111W,0.0288,1.752,2.1599999999999997
2445,YGR112W,,,
2446,YGR113W,,0.786,
2447,YGR114C,0.058,0.132,13.428
2448,YGR115C,0.0953,,11.01
2449,YGR116W,0.5488,14.304,11.34
2450,YGR117C,0.0519,3.096,3.264
2451,YGR118W,0.3955,262.98,47.022
2452,YGR119C,0.2217,,12.282
2453,YGR120C,0.0544,,6.21
2454,YGR121C,,1.386,
2455,YGR121W-A,,,
2456,YGR122C-A,,,
2457,YGR122W,,1.6380000000000001,
2458,YGR123C,0.1178,4.632000000000001,6.8759999999999994
2459,YGR124W,,11.052,
2460,YGR125W,0.1332,4.428,3.8519999999999994
2461,YGR126W,0.0512,0.078,6.66
2462,YGR127W,,0.5820000000000001,
2463,YGR128C,0.187,8.91,7.86
2464,YGR129W,0.0537,0.8099999999999999,7.47
2465,YGR130C,,2.976,
2466,YGR131W,0.0602,0.762,10.344
2467,YGR132C,,27.558,
2468,YGR133W,0.0311,1.9080000000000001,5.088
2469,YGR134W,,1.3499999999999999,
2470,YGR135W,0.1878,71.85,21.785999999999998
2471,YGR136W,0.3093,,38.394
2472,YGR137W,0.1311,5.7,31.554000000000002
2473,YGR138C,0.1587,12.318000000000001,7.7459999999999996
2474,YGR139W,,0.084,
2475,YGR140W,,0.516,
2476,YGR141W,0.11,4.326,7.056
2477,YGR142W,0.5022,43.554,36.684000000000005
2478,YGR143W,0.2212,6.678,8.598
2479,YGR144W,,0.192,
2480,YGR145W,0.2186,2.514,9.264000000000001
2481,YGR146C,0.1002,,14.202
2482,YGR146C-A,,,
2483,YGR147C,0.0988,6.0600000000000005,10.266
2484,YGR148C,0.2636,,50.802
2485,YGR149W,0.1825,11.262,12.654
2486,YGR150C,0.1657,,5.747999999999999
2487,YGR151C,,,
2488,YGR152C,,,
2489,YGR153W,,,
2490,YGR154C,,,
2491,YGR155W,,76.04400000000001,
2492,YGR156W,0.1225,2.784,8.634
2493,YGR157W,0.1582,11.592,5.46
2494,YGR158C,0.0452,10.962,5.418
2495,YGR159C,0.6319,44.208,45.714
2496,YGR160W,0.2164,,31.872
2497,YGR161C,0.1196,2.784,13.608
2498,YGR161W-C,,,
2499,YGR162W,0.1572,44.208,4.95
2500,YGR163W,,,
2501,YGR164W,,0.054,
2502,YGR165W,0.0471,3.606,4.085999999999999
2503,YGR166W,0.0562,3.528,3.006
2504,YGR167W,0.0624,8.514,8.01
2505,YGR168C,,6.3180000000000005,
2506,YGR169C,,0.768,
2507,YGR169C-A,,,
2508,YGR170W,0.2059,1.7999999999999998,5.4239999999999995
2509,YGR171C,0.1223,1.6440000000000001,6.372
2510,YGR172C,0.0252,4.8,3.0420000000000003
2511,YGR173W,,9.708,
2512,YGR174C,,4.656000000000001,
2513,YGR174W-A,,,
2514,YGR175C,0.2761,18.924,16.68
2515,YGR176W,0.031,,8.028
2516,YGR177C,0.132,,7.392
2517,YGR178C,0.5314,,22.062
2518,YGR179C,,,
2519,YGR180C,0.1142,10.836,9.912
2520,YGR181W,0.0264,,7.5
2521,YGR182C,,,
2522,YGR183C,,7.199999999999999,
2523,YGR184C,0.453,1.752,6.965999999999999
2524,YGR185C,0.0568,18.581999999999997,4.314
2525,YGR186W,,9.252,
2526,YGR187C,,,
2527,YGR188C,,0.138,
2528,YGR189C,0.2444,30.426,14.442
2529,YGR190C,0.0275,4.295999999999999,6.774
2530,YGR191W,0.2875,15.684000000000001,14.292
2531,YGR192C,,,
2532,YGR193C,,6.96,
2533,YGR194C,,1.8719999999999999,
2534,YGR195W,0.0906,,11.022
2535,YGR196C,0.1782,2.286,6.54
2536,YGR197C,0.1556,3.786,8.52
2537,YGR198W,,5.88,
2538,YGR199W,0.1714,,6.768
2539,YGR200C,0.2229,13.998000000000001,8.478
2540,YGR201C,,2.766,
2541,YGR202C,,7.032,
2542,YGR203W,,0.9540000000000001,
2543,YGR204C-A,,,
2544,YGR204W,,22.554000000000002,
2545,YGR205W,0.0409,0.7799999999999999,4.224
2546,YGR206W,0.0194,9.402000000000001,5.724
2547,YGR207C,0.0886,9.18,10.158000000000001
2548,YGR208W,0.2284,55.398,22.128
2549,YGR209C,0.1738,41.754,49.824
2550,YGR210C,0.2714,15.966000000000001,19.776
2551,YGR211W,0.7502,28.308,46.242000000000004
2552,YGR212W,0.0456,,2.922
2553,YGR213C,,,
2554,YGR214W,0.2,68.196,14.838
2555,YGR215W,,14.879999999999999,
2556,YGR216C,,5.898,
2557,YGR217W,0.3761,,5.532
2558,YGR218W,,1.1640000000000001,
2559,YGR219W,0.0487,,12.846
2560,YGR220C,,,
2561,YGR221C,0.0923,,4.446
2562,YGR222W,0.0625,,6.3839999999999995
2563,YGR223C,0.0778,,5.202
2564,YGR224W,,,
2565,YGR225W,,,
2566,YGR226C,0.0039,,1.686
2567,YGR227W,,10.290000000000001,
2568,YGR228W,0.0704,,18.426
2569,YGR229C,0.4221,,25.044
2570,YGR230W,,0.348,
2571,YGR231C,0.0953,12.732,9.204
2572,YGR232W,0.0485,,6.366
2573,YGR233C,0.3665,,9.33
2574,YGR234W,0.2052,54.42,15.402
2575,YGR235C,0.0552,10.89,7.092
2576,YGR236C,,,
2577,YGR237C,0.1209,2.442,4.614
2578,YGR238C,0.0833,,2.832
2579,YGR239C,,,
2580,YGR240C,0.9829,8.076,29.855999999999998
2581,YGR240C-A,,,
2582,YGR241C,0.1614,,8.514
2583,YGR242W,0.0286,1.14,8.370000000000001
2584,YGR243W,,0.8220000000000001,
2585,YGR244C,0.0783,,5.496
2586,YGR245C,0.501,8.472,19.578
2587,YGR246C,0.112,4.59,5.6339999999999995
2588,YGR247W,0.0415,0.576,5.196
2589,YGR248W,,,
2590,YGR249W,,,
2591,YGR250C,,,
2592,YGR251W,0.0908,,13.854
2593,YGR252W,0.1743,5.724,11.892
2594,YGR253C,0.3401,39.408,39.144
2595,YGR254W,0.4998,55.944,34.26
2596,YGR255C,0.0731,10.272,4.572
2597,YGR256W,0.0364,0.216,2.2199999999999998
2598,YGR257C,0.0822,4.8660000000000005,6.726
2599,YGR258C,,2.892,
2600,YGR259C,0.0497,,10.158000000000001
2601,YGR260W,0.1203,8.202,6.75
2602,YGR261C,0.1462,7.392,5.418
2603,YGR262C,0.0548,8.100000000000001,6.276
2604,YGR263C,0.0415,2.3939999999999997,2.934
2605,YGR264C,0.4625,9.798,18.462
2606,YGR265W,0.0379,0.09,8.322
2607,YGR266W,0.0765,2.5500000000000003,3.27
2608,YGR267C,0.0859,9.564,10.584
2609,YGR268C,0.1145,3.618,17.292
2610,YGR269W,,,
2611,YGR270C-A,,,
2612,YGR270W,0.4267,2.46,9.282
2613,YGR271C-A,,,
2614,YGR271W,0.293,,4.4639999999999995
2615,YGR272C,0.0,,9.12
2616,YGR273C,0.0144,,2.472
2617,YGR274C,,1.182,
2618,YGR275W,,,
2619,YGR276C,0.1414,,7.662000000000001
2620,YGR277C,0.0861,4.055999999999999,8.448
2621,YGR278W,0.117,0.108,6.078
2622,YGR279C,,9.696,
2623,YGR280C,,10.188,
2624,YGR281W,0.3178,,6.45
2625,YGR282C,,49.326,
2626,YGR283C,,5.574,
2627,YGR284C,,5.148,
2628,YGR285C,0.3877,23.868,26.82
2629,YGR286C,0.0494,2.262,3.9419999999999997
2630,YGR287C,0.0249,0.462,1.266
2631,YGR288W,0.0458,0.48,2.898
2632,YGR289C,,0.198,
2633,YGR290W,,,
2634,YGR291C,,,
2635,YGR292W,0.0369,,1.8960000000000001
2636,YGR293C,0.0063,,1.2240000000000002
2637,YGR294W,0.0066,,1.632
2638,YGR295C,,,
2639,YGR296C-A,,,
2640,YGR296C-B,,,
2641,YGR296W,,,
2642,YHL001W,0.3466,21.954,38.322
2643,YHL002C-A,,,
2644,YHL002W,0.2198,9.18,14.568
2645,YHL003C,0.1043,16.056,7.602
2646,YHL004W,,6.816000000000001,
2647,YHL005C,,,
2648,YHL006C,0.0595,1.068,11.850000000000001
2649,YHL006W-A,,,
2650,YHL007C,0.3174,9.192,10.134
2651,YHL008C,0.1283,2.748,6.132
2652,YHL009C,0.0472,1.6740000000000002,4.284000000000001
2653,YHL010C,,1.0139999999999998,
2654,YHL011C,0.1798,30.954,16.823999999999998
2655,YHL012W,0.0177,,1.0739999999999998
2656,YHL013C,,,
2657,YHL014C,,,
2658,YHL015W,0.262,222.918,64.596
2659,YHL015W-A,,,
2660,YHL016C,0.0388,1.3559999999999999,1.584
2661,YHL017W,,1.656,
2662,YHL018W,0.0655,,16.278
2663,YHL019C,0.0999,,4.95
2664,YHL019W-A,,,
2665,YHL020C,0.1619,5.076,12.006
2666,YHL021C,0.1073,5.406,6.912
2667,YHL022C,,0.30600000000000005,
2668,YHL023C,0.1779,1.632,4.656000000000001
2669,YHL024W,0.0932,0.102,3.9179999999999997
2670,YHL025W,0.1655,3.108,14.927999999999999
2671,YHL026C,0.0562,0.546,5.346
2672,YHL027W,0.1759,4.74,8.436
2673,YHL028W,0.1588,0.8999999999999999,7.866
2674,YHL029C,0.2165,0.87,9.552
2675,YHL030W,,1.4040000000000001,
2676,YHL030W-A,,,
2677,YHL031C,0.0494,11.97,6.63
2678,YHL032C,0.1481,1.326,6.258
2679,YHL033C,0.2214,22.71,25.872
2680,YHL034C,,,
2681,YHL034W-A,0.0449,,8.766
2682,YHL035C,,,
2683,YHL036W,,,
2684,YHL037C,,,
2685,YHL038C,,,
2686,YHL039W,0.0829,,4.248
2687,YHL040C,,1.9559999999999997,
2688,YHL041W,,0.048,
2689,YHL042W,,0.432,
2690,YHL043W,,,
2691,YHL044W,,1.344,
2692,YHL045W,,0.042,
2693,YHL046C,0.0043,,1.0739999999999998
2694,YHL046W-A,,,
2695,YHL047C,0.1495,2.772,7.032
2696,YHL048C-A,,,
2697,YHL048W,,0.204,
2698,YHL049C,,,
2699,YHL050C,0.1338,,4.2059999999999995
2700,YHL050W-A,,,
2701,YHR001W,0.1131,2.508,7.752000000000001
2702,YHR001W-A,,9.27,
2703,YHR002W,,0.324,
2704,YHR003C,0.1418,2.3339999999999996,9.9
2705,YHR004C,0.0639,1.098,4.29
2706,YHR005C,0.2648,10.278,16.806
2707,YHR005C-A,,49.14,
2708,YHR006W,0.1569,,8.688
2709,YHR007C,0.4794,33.282,27.102
2710,YHR007C-A,,,
2711,YHR008C,0.1618,3.132,20.772000000000002
2712,YHR009C,,5.436,
2713,YHR010W,0.6086,299.076,56.412
2714,YHR011W,,,
2715,YHR012W,,6.672,
2716,YHR013C,0.056,,7.038
2717,YHR014W,,0.288,
2718,YHR015W,,0.054,
2719,YHR016C,0.0522,0.924,2.988
2720,YHR017W,,5.646,
2721,YHR018C,0.1209,7.218,7.823999999999999
2722,YHR019C,0.2001,25.674,10.824
2723,YHR020W,,17.598,
2724,YHR021C,0.4669,165.09,52.656000000000006
2725,YHR021W-A,,,
2726,YHR022C,0.0208,,2.43
2727,YHR022C-A,,,
2728,YHR023W,,0.774,
2729,YHR024C,,5.034,
2730,YHR025W,0.0444,10.661999999999999,3.7199999999999998
2731,YHR026W,0.0325,13.686,4.56
2732,YHR027C,,5.73,
2733,YHR028C,0.3233,6.5520000000000005,11.844
2734,YHR028W-A,,,
2735,YHR029C,,,
2736,YHR030C,0.1334,,8.256
2737,YHR031C,,,
2738,YHR032C-A,,,
2739,YHR032W,0.3409,2.6220000000000003,17.58
2740,YHR032W-A,,,
2741,YHR033W,0.0512,0.36600000000000005,3.624
2742,YHR034C,,1.146,
2743,YHR035W,,1.302,
2744,YHR036W,0.0884,0.6,5.622
2745,YHR037W,0.0864,,4.5
2746,YHR038W,0.0371,3.768,4.83
2747,YHR039C,,,
2748,YHR039C-A,,,
2749,YHR040W,,,
2750,YHR041C,0.093,3.0,11.418
2751,YHR042W,,14.418000000000001,
2752,YHR043C,0.0302,7.6259999999999994,3.666
2753,YHR044C,0.0288,0.8999999999999999,3.4979999999999998
2754,YHR045W,0.1529,8.261999999999999,8.184
2755,YHR046C,0.1978,,20.07
2756,YHR047C,,6.048,
2757,YHR048W,0.1143,,6.666
2758,YHR049C-A,,,
2759,YHR049W,0.106,,13.05
2760,YHR050W,,6.306,
2761,YHR050W-A,,,
2762,YHR051W,0.0355,5.34,7.17
2763,YHR052W,0.1822,15.336,14.508
2764,YHR052W-A,,,
2765,YHR053C,0.0904,,43.992
2766,YHR054C,,,
2767,YHR054W-A,,,
2768,YHR055C,0.095,,46.2
2769,YHR056C,,,
2770,YHR056W-A,,,
2771,YHR057C,0.0622,3.906,9.078
2772,YHR058C,0.1196,3.1020000000000003,12.138
2773,YHR059W,0.0314,2.034,7.199999999999999
2774,YHR060W,,10.74,
2775,YHR061C,,,
2776,YHR062C,0.0868,6.816000000000001,8.874
2777,YHR063C,,8.022,
2778,YHR063W-A,,,
2779,YHR064C,,,
2780,YHR065C,0.1831,3.5340000000000003,10.95
2781,YHR066W,0.244,17.292,16.14
2782,YHR067W,0.1059,1.194,11.322000000000001
2783,YHR068W,0.1091,93.21600000000001,8.442
2784,YHR069C,,9.815999999999999,
2785,YHR069C-A,0.0332,,8.261999999999999
2786,YHR070C-A,,,
2787,YHR070W,0.3227,,19.38
2788,YHR071C-A,,,
2789,YHR071W,0.0591,8.832,7.715999999999999
2790,YHR072W,0.1264,6.228,5.184
2791,YHR072W-A,0.0413,,21.138
2792,YHR073C-B,,,
2793,YHR073W,0.348,,10.476
2794,YHR073W-A,,,
2795,YHR074W,,8.694,
2796,YHR075C,,2.742,
2797,YHR076W,,3.63,
2798,YHR077C,,2.718,
2799,YHR078W,0.0536,,2.91
2800,YHR079C,0.1395,3.48,3.75
2801,YHR079C-A,,0.108,
2802,YHR080C,,3.0420000000000003,
2803,YHR081W,0.0358,16.578,5.82
2804,YHR082C,,,
2805,YHR083W,0.047,17.802,4.2780000000000005
2806,YHR084W,0.1499,5.286,6.528
2807,YHR085W,0.2043,,18.318
2808,YHR086W,0.1168,4.428,6.69
2809,YHR086W-A,,,
2810,YHR087W,,,
2811,YHR088W,0.105,10.338000000000001,10.649999999999999
2812,YHR089C,0.0836,59.4,12.192
2813,YHR090C,,1.038,
2814,YHR091C,0.1062,3.8819999999999997,4.95
2815,YHR092C,,,
2816,YHR093W,,0.108,
2817,YHR094C,,6.678,
2818,YHR095W,,,
2819,YHR096C,0.0739,0.174,3.738
2820,YHR097C,,3.8579999999999997,
2821,YHR098C,,4.602,
2822,YHR099W,,2.838,
2823,YHR100C,0.031,1.6199999999999999,5.016
2824,YHR101C,,1.374,
2825,YHR102W,0.2754,1.794,7.644000000000001
2826,YHR103W,,5.256,
2827,YHR104W,,,
2828,YHR105W,0.0298,0.084,4.158
2829,YHR106W,,2.088,
2830,YHR107C,0.0829,3.6540000000000004,6.102
2831,YHR108W,0.1415,10.692,7.248
2832,YHR109W,0.0669,0.222,3.4259999999999997
2833,YHR110W,0.0297,10.188,4.194
2834,YHR111W,0.1282,13.074,8.729999999999999
2835,YHR112C,0.0828,2.952,6.564
2836,YHR113W,0.1499,6.588,9.162
2837,YHR114W,0.13,6.222,6.1499999999999995
2838,YHR115C,0.082,4.416,5.904
2839,YHR116W,0.035,,6.930000000000001
2840,YHR117W,0.1406,,6.593999999999999
2841,YHR118C,0.0701,,4.83
2842,YHR119W,0.2691,3.186,7.47
2843,YHR120W,0.2503,0.828,7.823999999999999
2844,YHR121W,0.0368,10.548,5.886
2845,YHR122W,0.0405,3.258,5.244000000000001
2846,YHR123W,0.0424,6.396,3.012
2847,YHR124W,0.0944,0.30600000000000005,4.5120000000000005
2848,YHR125W,,,
2849,YHR126C,,,
2850,YHR127W,0.074,8.484,9.107999999999999
2851,YHR128W,0.1432,39.726,19.824
2852,YHR129C,0.0512,1.392,3.9960000000000004
2853,YHR130C,,0.6,
2854,YHR131C,,,
2855,YHR131W-A,,,
2856,YHR132C,0.151,9.485999999999999,10.518
2857,YHR132W-A,,,
2858,YHR133C,,9.623999999999999,
2859,YHR134W,,1.752,
2860,YHR135C,0.3296,25.314,18.354
2861,YHR136C,,2.532,
2862,YHR137C-A,,,
2863,YHR137W,0.0327,1.266,1.9080000000000001
2864,YHR138C,,14.652,
2865,YHR139C,,,
2866,YHR139C-A,,0.6,
2867,YHR140W,0.0252,0.26999999999999996,3.15
2868,YHR141C,0.1941,,22.95
2869,YHR142W,0.0613,5.712000000000001,5.808
2870,YHR143W,0.2912,106.878,26.826
2871,YHR143W-A,0.0496,,21.054
2872,YHR144C,0.0886,,8.496
2873,YHR145C,0.002,,0.51
2874,YHR146W,0.1757,9.017999999999999,11.315999999999999
2875,YHR147C,0.0644,5.136,8.994
2876,YHR148W,0.0317,2.112,5.172
2877,YHR149C,0.2025,13.908000000000001,8.268
2878,YHR150W,,1.698,
2879,YHR151C,0.0696,,3.966
2880,YHR152W,0.0679,11.424000000000001,11.73
2881,YHR153C,,0.372,
2882,YHR154W,0.1521,,4.26
2883,YHR155W,0.1532,0.57,3.738
2884,YHR156C,0.0171,5.64,1.512
2885,YHR157W,0.0153,,2.514
2886,YHR158C,0.2966,3.1919999999999997,7.638
2887,YHR159W,0.0755,1.212,4.488
2888,YHR160C,,,
2889,YHR161C,0.119,5.328,5.598
2890,YHR162W,0.1269,46.949999999999996,29.358
2891,YHR163W,,6.894,
2892,YHR164C,,1.9500000000000002,
2893,YHR165C,0.4891,,6.078
2894,YHR165W-A,,,
2895,YHR166C,0.0897,,4.295999999999999
2896,YHR167W,0.0709,1.302,8.13
2897,YHR168W,0.1032,0.522,6.192
2898,YHR169W,0.2308,7.248,16.038
2899,YHR170W,0.246,,14.226
2900,YHR171W,0.0747,1.5899999999999999,3.552
2901,YHR172W,,,
2902,YHR173C,0.0261,,6.942
2903,YHR174W,,241.03199999999998,
2904,YHR175W,0.1305,3.558,20.646
2905,YHR175W-A,,,
2906,YHR176W,0.0345,,2.388
2907,YHR177W,0.0474,0.138,3.132
2908,YHR178W,0.0934,1.716,3.768
2909,YHR179W,,52.266,
2910,YHR180C-B,,,
2911,YHR180W,0.0162,,2.97
2912,YHR180W-A,,,
2913,YHR181W,0.0231,8.225999999999999,3.036
2914,YHR182C-A,0.6632,,126.19200000000001
2915,YHR182W,,1.392,
2916,YHR183W,0.6399,38.22,39.204
2917,YHR184W,,,
2918,YHR185C,,,
2919,YHR186C,0.2337,2.718,4.5
2920,YHR187W,0.0532,,5.154
2921,YHR188C,,,
2922,YHR189W,,0.75,
2923,YHR190W,0.1779,,12.006
2924,YHR191C,0.0528,,11.850000000000001
2925,YHR192W,0.0687,,7.398000000000001
2926,YHR193C,0.1197,,20.55
2927,YHR193C-A,,,
2928,YHR194W,,,
2929,YHR195W,0.1064,5.562,9.924
2930,YHR196W,0.5596,7.505999999999999,29.16
2931,YHR197W,,1.5959999999999999,
2932,YHR198C,,1.5899999999999999,
2933,YHR199C,,1.314,
2934,YHR199C-A,,,
2935,YHR200W,,,
2936,YHR201C,,,
2937,YHR202W,0.0759,0.48,3.7800000000000002
2938,YHR203C,,,
2939,YHR204W,0.1545,4.236,5.814
2940,YHR205W,0.3345,0.7140000000000001,12.168000000000001
2941,YHR206W,0.2224,4.524,10.716000000000001
2942,YHR207C,,7.8420000000000005,
2943,YHR208W,,168.714,
2944,YHR209W,0.0254,1.302,2.61
2945,YHR210C,,,
2946,YHR211W,0.1192,,3.324
2947,YHR212C,,,
2948,YHR212W-A,,,
2949,YHR213W,0.0158,,2.388
2950,YHR213W-A,,,
2951,YHR213W-B,,,
2952,YHR214C-D,,,
2953,YHR214C-E,,,
2954,YHR214W,0.043,,6.336
2955,YHR214W-A,,,
2956,YHR215W,,,
2957,YHR216W,0.2175,30.408,12.456
2958,YHR217C,,,
2959,YHR218W,,,
2960,YHR218W-A,,,
2961,YHR219C-A,,,
2962,YHR219W,,,
2963,YIL001W,0.0849,,4.962
2964,YIL002C,,,
2965,YIL002W-A,,,
2966,YIL003W,0.073,,7.457999999999999
2967,YIL004C,0.0562,8.874,9.042
2968,YIL005W,0.0948,7.272,4.055999999999999
2969,YIL006W,0.0749,0.726,6.012
2970,YIL007C,0.0422,1.854,5.736000000000001
2971,YIL008W,,13.02,
2972,YIL009C-A,0.0177,17.106,2.91
2973,YIL009W,0.3807,1.284,16.44
2974,YIL010W,0.0266,2.964,3.696
2975,YIL011W,0.0176,1.23,1.962
2976,YIL012W,,0.132,
2977,YIL013C,0.1623,0.8999999999999999,3.45
2978,YIL014C-A,,,
2979,YIL014W,0.1966,16.163999999999998,9.347999999999999
2980,YIL015W,0.5231,,26.7
2981,YIL016W,0.1077,8.454,20.226
2982,YIL017C,,,
2983,YIL018W,0.3881,55.95,30.012
2984,YIL019W,0.0832,2.628,7.199999999999999
2985,YIL020C,0.028,,3.216
2986,YIL020C-A,,,
2987,YIL021C-A,,,
2988,YIL021W,0.1577,,14.85
2989,YIL022W,0.3833,5.045999999999999,26.64
2990,YIL023C,0.0677,2.784,5.862
2991,YIL024C,,,
2992,YIL025C,,0.108,
2993,YIL026C,0.1664,1.206,4.338
2994,YIL027C,,10.266,
2995,YIL028W,,0.768,
2996,YIL029C,0.0237,1.302,4.992
2997,YIL029W-A,,,
2998,YIL030C,0.3686,8.784,8.376
2999,YIL030W-A,,,
3000,YIL031W,0.1437,,4.164000000000001
3001,YIL032C,,,
3002,YIL033C,0.1461,9.335999999999999,10.518
3003,YIL034C,0.0708,7.686,7.386
3004,YIL035C,0.09,2.9459999999999997,7.248
3005,YIL036W,,7.122,
3006,YIL037C,0.0267,,1.218
3007,YIL038C,0.3219,8.904,11.543999999999999
3008,YIL039W,0.0829,2.0100000000000002,5.25
3009,YIL040W,,4.602,
3010,YIL041W,0.1602,17.418,14.712
3011,YIL042C,0.0986,2.058,7.494
3012,YIL043C,0.1197,20.040000000000003,12.612
3013,YIL044C,0.0463,10.578000000000001,4.65
3014,YIL045W,,3.4259999999999997,
3015,YIL046W,0.2039,,9.546
3016,YIL046W-A,,,
3017,YIL047C,0.6272,,20.843999999999998
3018,YIL047C-A,,,
3019,YIL048W,0.1547,2.1420000000000003,4.032
3020,YIL049W,0.0231,1.7999999999999998,2.724
3021,YIL050W,0.0574,2.28,6.024
3022,YIL051C,0.054,92.25,11.112
3023,YIL052C,0.3174,156.75,34.122
3024,YIL053W,,136.158,
3025,YIL054W,,0.108,
3026,YIL055C,,,
3027,YIL056W,0.1839,3.114,8.61
3028,YIL057C,,0.114,
3029,YIL058W,,0.186,
3030,YIL059C,,,
3031,YIL060W,0.0087,,1.812
3032,YIL061C,0.0469,,4.68
3033,YIL062C,0.1056,43.62,20.490000000000002
3034,YIL063C,0.1238,,11.334000000000001
3035,YIL064W,0.0609,,7.085999999999999
3036,YIL065C,0.0369,4.992,7.122
3037,YIL066C,0.0343,0.38999999999999996,1.182
3038,YIL066W-A,,,
3039,YIL067C,0.1301,3.138,5.754
3040,YIL068C,0.1558,,5.802
3041,YIL068W-A,,,
3042,YIL069C,0.4569,52.272,50.394
3043,YIL070C,0.0579,6.54,6.51
3044,YIL071C,0.0329,,2.2199999999999998
3045,YIL071W-A,,,
3046,YIL072W,0.0321,,1.5899999999999999
3047,YIL073C,,,
3048,YIL074C,0.0736,18.348000000000003,4.704
3049,YIL075C,0.4779,9.936,15.161999999999999
3050,YIL076W,0.0343,34.338,3.474
3051,YIL077C,0.0744,2.4539999999999997,6.96
3052,YIL078W,,15.857999999999999,
3053,YIL079C,0.0849,,7.056
3054,YIL082W,0.0794,,8.190000000000001
3055,YIL083C,0.0827,2.772,6.7860000000000005
3056,YIL084C,0.1398,0.138,12.804
3057,YIL085C,0.1881,,10.902
3058,YIL086C,0.0136,,3.966
3059,YIL087C,0.021,1.314,4.002
3060,YIL088C,0.0511,13.518,3.1199999999999997
3061,YIL089W,,0.132,
3062,YIL090W,0.0627,7.104,3.8220000000000005
3063,YIL091C,0.256,,10.644
3064,YIL092W,0.105,,4.974
3065,YIL093C,0.1232,3.186,13.962
3066,YIL094C,0.3353,33.996,27.066
3067,YIL095W,0.0942,2.04,3.4859999999999998
3068,YIL096C,0.034,3.324,3.0300000000000002
3069,YIL097W,,,
3070,YIL098C,0.0575,4.728,11.088
3071,YIL099W,,,
3072,YIL100C-A,,,
3073,YIL100W,,,
3074,YIL101C,0.0856,0.324,3.966
3075,YIL102C,,,
3076,YIL102C-A,,,
3077,YIL103W,0.1378,,9.713999999999999
3078,YIL104C,0.1395,2.04,8.244
3079,YIL105C,0.1287,,5.622
3080,YIL105W-A,,,
3081,YIL106W,0.0926,6.090000000000001,8.094
3082,YIL107C,0.0831,0.684,3.012
3083,YIL108W,0.1686,2.706,7.26
3084,YIL109C,,20.904,
3085,YIL110W,,6.798,
3086,YIL111W,0.0532,9.618,8.814
3087,YIL112W,0.237,,6.564
3088,YIL113W,0.0404,1.206,5.778
3089,YIL114C,0.0468,,4.992
3090,YIL115C,0.3442,,7.0680000000000005
3091,YIL115W-A,,,
3092,YIL116W,,7.938,
3093,YIL117C,0.213,1.332,20.046
3094,YIL118W,0.1084,10.05,14.033999999999999
3095,YIL119C,0.0371,3.078,2.73
3096,YIL120W,0.0935,0.46799999999999997,4.974
3097,YIL121W,0.0927,,5.1240000000000006
3098,YIL122W,0.0616,0.942,5.256
3099,YIL123W,0.2127,15.540000000000001,13.416
3100,YIL124W,0.1178,9.966,11.873999999999999
3101,YIL125W,0.1483,2.832,4.386
3102,YIL126W,0.5956,,13.14
3103,YIL127C,0.0515,7.59,7.482
3104,YIL128W,0.1159,,3.3659999999999997
3105,YIL129C,0.3425,2.814,4.319999999999999
3106,YIL130W,0.159,,4.944
3107,YIL131C,0.4974,1.374,30.786
3108,YIL132C,0.0229,0.522,3.21
3109,YIL133C,0.3937,45.029999999999994,39.858
3110,YIL134C-A,,,
3111,YIL134W,0.062,3.516,5.964
3112,YIL135C,,1.932,
3113,YIL136W,,,
3114,YIL137C,0.0915,,2.898
3115,YIL138C,0.0628,8.748000000000001,11.652000000000001
3116,YIL139C,,,
3117,YIL140W,0.0802,0.7979999999999999,2.922
3118,YIL141W,0.0104,,2.4
3119,YIL142C-A,0.0677,,18.36
3120,YIL142W,0.4013,28.596,22.811999999999998
3121,YIL143C,0.2138,2.0700000000000003,7.602
3122,YIL144W,,2.19,
3123,YIL145C,0.0929,7.7459999999999996,9.0
3124,YIL146C,0.0398,1.0139999999999998,2.2560000000000002
3125,YIL147C,0.2253,,5.537999999999999
3126,YIL148W,0.2761,121.908,30.3
3127,YIL149C,,,
3128,YIL150C,0.1417,0.132,7.434
3129,YIL151C,0.2126,,5.7
3130,YIL152W,0.0514,,6.5520000000000005
3131,YIL153W,0.0737,3.324,5.6160000000000005
3132,YIL154C,0.1845,7.248,15.972
3133,YIL155C,,,
3134,YIL156W,0.2128,,5.958
3135,YIL156W-A,,,
3136,YIL156W-B,,,
3137,YIL157C,0.0539,5.045999999999999,8.178
3138,YIL158W,0.0742,9.822000000000001,10.872
3139,YIL159W,0.1959,,4.272
3140,YIL160C,0.0376,,2.6999999999999997
3141,YIL161W,0.067,,8.526
3142,YIL162W,0.0402,1.818,2.262
3143,YIL163C,,0.504,
3144,YIL164C,0.0737,,11.064
3145,YIL165C,0.0234,,5.862
